comment_score,Positive,Negative
-55,0.36363636363636365,0.7922077922077922
139,0.2857142857142857,0.8857142857142857
246,0.30434782608695654,0.9347826086956522
1190,0.3333333333333333,0.6666666666666666
1196,1.0,0.5
1999,0.0,1.0
2165,0.0,1.0
3427,0.0,1.0
6732,1.0,0.0
-256,0.0,0.0
226,0.3442622950819672,0.9180327868852459
242,0.2127659574468085,0.9787234042553191
430,0.07407407407407407,1.0
453,0.0625,1.0
726,0.23076923076923078,0.8461538461538461
817,0.25,1.0
977,0.0,1.0
1009,0.0,1.0
1121,0.0,1.0
1230,0.0,1.0
1997,0.5,1.0
2438,0.0,1.0
3485,0.0,1.0
3868,1.0,1.0
-162,0.0,0.0
41,0.2531779661016949,0.8877118644067796
499,0.3,0.9
907,0.0,1.0
1085,0.3333333333333333,1.0
1114,0.5,1.0
1273,0.3333333333333333,1.0
1473,0.0,1.0
1574,1.0,1.0
1689,0.5,1.0
1695,0.5,1.0
2556,0.0,1.0
3108,0.0,1.0
5834,0.0,1.0
-183,0.5,0.5
-164,0.0,1.0
28,0.2544135429262394,0.8989117291414752
33,0.23316062176165803,0.9137675795706883
88,0.2553191489361702,0.9054373522458629
208,0.23595505617977527,0.8764044943820225
248,0.25,0.9166666666666666
257,0.19642857142857142,0.9642857142857143
384,0.15,0.95
405,0.1111111111111111,1.0
519,0.5,0.8
1807,0.0,1.0
3163,0.5,1.0
4005,0.0,1.0
14312,0.0,1.0
138,0.2545454545454545,0.8606060606060606
207,0.273972602739726,0.9178082191780822
498,0.38461538461538464,1.0
511,0.2,0.9333333333333333
637,0.125,0.875
671,0.14285714285714285,0.8571428571428571
866,0.3333333333333333,1.0
1321,0.0,1.0
1576,0.5,1.0
1683,0.0,1.0
3032,0.0,1.0
11256,1.0,1.0
-115,0.125,1.0
235,0.2,0.8909090909090909
304,0.28888888888888886,0.8444444444444444
307,0.12121212121212122,0.9090909090909091
462,0.3076923076923077,0.9230769230769231
649,0.5,0.75
769,0.2,1.0
813,0.0,1.0
833,0.4,1.0
865,0.25,0.5
1100,0.0,1.0
1206,0.3333333333333333,1.0
2884,0.0,1.0
3446,0.0,1.0
-123,0.4,0.6
-18,0.3131115459882583,0.812133072407045
114,0.2793522267206478,0.8744939271255061
434,0.06666666666666667,0.8666666666666667
599,0.5555555555555556,0.7777777777777778
646,0.36363636363636365,0.9090909090909091
678,0.16666666666666666,0.8333333333333334
714,0.0,1.0
742,0.2,0.8
1425,0.5,0.5
1474,1.0,1.0
3445,0.0,0.0
3811,0.0,1.0
9459,0.0,1.0
5,0.2526236209172102,0.89385066823849
794,0.5,0.8333333333333334
900,0.4,0.8
1083,0.0,1.0
1331,0.0,1.0
1363,0.3333333333333333,0.6666666666666666
1597,0.0,1.0
2383,0.0,1.0
3329,0.0,1.0
3331,0.5,1.0
3498,0.0,1.0
4573,0.0,1.0
5265,0.0,1.0
6347,0.0,1.0
-110,0.38461538461538464,0.6153846153846154
